編號,填空句子,目標生字,第一級提示,第二級提示,完整句子
1,Mum ________ a cake with an oven.,baked,烘烤,(v.) b _ _ _ d,Mum baked a cake with an oven.
2,Mum ________ the eggs to make some dessert.,beat,打 / 攪打,(v.) b _ _ t,Mum beat the eggs to make some dessert.
3,I ________ some water to make coffee every morning.,boil,煮沸,(v.) b _ _ l,I boil some water to make coffee every morning.
4,Dad ________ the meat into pieces with a knife.,chopped,切碎,(v.) c _ _ _ _ _ d,Dad chopped the meat into pieces with a knife.
5,My sister ________ the vegetables with some oil.,fried,煎 / 炒,(v.) f _ _ _ d,My sister fried the vegetables with some oil.
6,"If we ________ blue and yellow, we get green.",mix,混合,(v.) m _ x,"If we mix blue and yellow, we get green."
7,I ________ a cup of tea for my grandmother.,poured,倒 / 倒出,(v.) p _ _ _ _ d,I poured a cup of tea for my grandmother.
8,I ________ some jam and butter on my toast.,spread,塗抹,(v.) s _ _ _ _ d,I spread some jam and butter on my toast.
9,I ________ some salt on my pasta.,sprinkled,灑 / 撒上,(v.) s _ _ _ _ _ _ _ d,I sprinkled some salt on my pasta.
10,I put some sugar into my coffee and ________ it.,stirred,攪拌,(v.) s _ _ _ _ _ d,I put some sugar into my coffee and stirred it.
